artist,song,line
"Tyler, The Creator",Lets Dance,"Oh, you look like my next victim"
"Tyler, The Creator",Lets Dance,"I said you look like my ex-girlfriend, sister"
"Tyler, The Creator",Lets Dance,But I kinda like your company
"Tyler, The Creator",Lets Dance,Let you rest your ass on my dick like a barstool
"Tyler, The Creator",Lets Dance,Going deep like a scuba with the snorkle
"Tyler, The Creator",Lets Dance,Just like your home by taking the store of oreos
Murs,D.S.W.G. Dark Skinned White Girls,"Now she like The Smiths, The Cure, really into Morrisey"
Jay Electronica,The Ghost of Christopher Wallace,Is like the Nation of Islam when Ali knocked Liston out
Kid Cudi,Pillow Talk,"Girl your skin is so smooth, and you smell good just like some new shoes (Just like my Bathing Apes)"
Kid Cudi,Pillow Talk,Just like my Bathing Apes
Lil Wayne,Dick Pleaser,"Smoke like a Cohiba, your ho give me cerebral"
Lil Wayne,Dick Pleaser,"On my mama, her head golden like an Oscar"
Frank Chezaray,Diesel Hash or Purple,I smoke like a manhole under Marilyn Monroe
Frank Chezaray,Im Ill Remix,My crew stay cool like the breeze is my biffle
Frank Chezaray,Im Ill Remix,And treated like the toilets that I take my fuckin' shits on
Childish Gambino,Im On It,And yes I'm in the building like a horror movie killer
Childish Gambino,Im On It,"Haters mean mugging, face is sour like my whiskey"
Insane Clown Posse,Simple and Blunt,And then buy something cheap like a Britney Spears sticker
MellowHype,Loaded,Taking niggas back to school like a bus ride for adolescents
MellowHype,Loaded,"I be like hello, play them corners like their cellos"
MellowHype,Loaded,"Grandma, I'm leaking on the beat like a tampon"
MellowHype,Loaded,Me and Brain lurk together like a fucking family
MellowHype,Loaded,You get fake applause like a TV sitcom
The Roots,Step Into the Realm,"Eyes are crevices, life like a double negative"
Crooked I,The Boss,"Jackson -- treat it like a class, then I fail ya"
Crooked I,The Boss,"Still feeling like a Vegas dealer in the club, got diamonds on deck"
Crooked I,The Boss,Crooked been shining like the rims on the Magnum
Mike G,OkayMikeg,But it seems they'll still look at me like a crook
Mike G,Stick Up,Good for you? Man I'll give you life like an elixir
Cee Why,Water Torture,"Either take cover, or run like the clappers mate"
Cee Why,Water Torture,"You're saying nothing, like a professional mime"
Cee Why,Water Torture,"Read my lips, like an unsettling sign"
Cee Why,Water Torture,My style's shocking like a damaged fuse
Cella Dwellas,Main Aim,Like a holster that’ll rip through shirts like the Hulkster
Amp Live,Video Tapez,Like the soldiers in a trojan
Slaughterhouse,Beamer Benz or Bentley,"My dick is like a missile, my pistol's in my pants"
Matrix & A-Butta,Keep Pourin,I discriminate like a racist a-gainst these basic
Matrix & A-Butta,Keep Pourin,I don't give a fuck like a virgin practicin' sexual abstinence
Matrix & A-Butta,Keep Pourin,Like a suburban library
Matrix & A-Butta,Keep Pourin,Penetrates like a parasite sounds to shatter lites (satelites)
Hieroglyphics,Soweto,Smokin' like a 'O' roster
Hieroglyphics,Soweto,Like a Dirty Harry trigger finger
Hieroglyphics,At the Helm,"Like calories, salaries, ahh sounds like a plan"
Flipsyde,Happy Birthday,Would you have been a little rapper like your poppa The Piper?
Wiz Khalifa,Mezmorized,Like the weed loud
Wiz Khalifa,Mezmorized,Like my engine when I speed up
Shwayze,Roamin,Roll me round cause I'm brown like a blunt
Shwayze,Roamin,In and out the carpool lane like a hot shot
Shwayze,Roamin,Roll me round cause I'm brown like a blunt
Joe Budden,Clothes On A Mannequin,Sometimes I feel like a man again
Joe Budden,Clothes On A Mannequin,Sometimes I feel like a man again
Joe Budden,Clothes On A Mannequin,Sometimes I feel like a man again
Joe Budden,Clothes On A Mannequin,Sometimes I feel like a man again
Joe Budden,Forgive Me,Like a newborn straight out the pussy
Atmosphere,Sunshine,Ain't nothing like the sound of the leaves
Atmosphere,You Make Me Wanna,And remembered it forever like a promise
Atmosphere,You Make Me Wanna,"Thought it was a peach, it tasted like a lemon"
Fabolous,The Wake,"So picture me, like a paparazzi"
Sage Francis,Inherited Scars,Like the uninterested type
Papoose,Salute The Dream,We gon rise like the crime rate
Papoose,Salute The Dream,"Every fiend I've seen, I licked him like a stamp"
Papoose,Salute The Dream,"They leave like a tree when I come, none of them herbs gotta chance"
Papoose,Salute The Dream,Cause they know I keep birds on me like a branch
Papoose,Salute The Dream,They hatin' but we ride right up on ‘em like a ramp
Papoose,Salute The Dream,Until you pull out the 4-4 and sit it on his chest like a lamp
Papoose,Salute The Dream,"You like an empty gas tank, you on E"
Papoose,Salute The Dream,"Let him keep actin' like a boxer, I'mma knock his mouthpiece out"
Tech N9ne,Be Warned,"“Everybody wit the Tech N9ne betta bust back like a muthfucka"" (OH YEAH!)"
Tech N9ne,Be Warned,“Everybody wit the Tech N9ne betta bust back like a muthfucka (OH YEAH!)
Yasiin Bey,Auditorium,Suckas tryin' to hide like the struggle won't find 'em
Yasiin Bey,Auditorium,Now the kid considered like an Elvis of Baghdad
Xian,30 Bar Rap,"I'm like the child of two Steins, R. L. and Ein-"
K'naan,America,I got my own sound I don't sound like the rest
Wiz Khalifa,The Race,"Something like a contracto,r built it from the ground up"
Wiz Khalifa,The Race,"Thirty on the flight, ice like the Gretzky's"
Chris Brown,Paper Scissors Rock,"Well listen, girl, you actin' like an idiot-ot-ot"
Chris Brown,Paper Scissors Rock,"Well listen, girl, you actin' like an idiot"
Chris Brown,Paper Scissors Rock,"I got bitches jumpin' for me like a bouquet by the beaucoup (Boing, boing, boing)"
R. Kelly,Im A Flirt,If I see her and I like her then I'm a flirt
Lil B,XXL Freshman Freestyle,"Call her ""asshole"", make her bounce like a cold pimp"
Lil B,XXL Freshman Freestyle,"Pop him in his back, pop back like a hatchback"
Lil B,XXL Freshman Freestyle,"Cool, like a switchblade, cut a nigga like sensei"
Snoop Dogg,Boom,Executive branch blowing smoke like a player
Snoop Dogg,Boom,I break down herbal 'til I move like a turtle
Snoop Dogg,Boom,And watch me smoke like a shotta'
Snoop Dogg,Boom,Drunk off of love like a Colt 45
Keri Hilson,Turnin Me On,"And you stuntin' like your daddy, checkin' for this little mama"
Keri Hilson,Turnin Me On,"Yeah, I turn you on like a handle"
Keri Hilson,Turnin Me On,Like a television on the Weather Channel
Bow Wow,Shes in love with my money,Had me looking like a fool
Buck 65,Pants on Fire,"Lost cause, you came like a thief in the night"
Buck 65,Pants on Fire,You spoke my gospel like an apostle
50 Cent,Part Time Lover,We can party like a rockstar nonstop
Flo Rida,Right Round,Just like my mind where I'm goin'
Flo Rida,Right Round,I like my jewelry that's always on gold
Flo Rida,Right Round,"Lil mama, I owe you just like the flowers"
Flo Rida,Right Round,My money love her like a number one fan
Flo Rida,Right Round,Doing a show like a gun out of holster
Lil Wayne,In The City,Ima put my hands on you like a steering wheel
2Pac,Changed Man Jazze Pha Remix,"You don't like a rugged nigga, fuck you, blow me"
2Pac,Changed Man Jazze Pha Remix,I hit the charts like a stick-up kid
Busta Rhymes,Ill Hurt You,Feels like a new day!
Busta Rhymes,We Could Take It Outside,I'm in leather like the ladies
Childish Gambino,My Shine,"Rolled up sleeves, nigga lookin’ like a greaser"
Childish Gambino,My Shine,"They do me like my first house, no co-signer"
Childish Gambino,Lights Turned On,Now you wanna pretend like my feelings is still the same?
Childish Gambino,Lights Turned On,She look like the Social Network chick
Childish Gambino,Lights Turned On,Things change like a motherfuck
Childish Gambino,Not Going Back,I come hard like my life keep her pussy tight
Childish Gambino,Not Going Back,When I called her mixed like the crowd at my last show
Salud,Devil in a New Dress Freestyle,Imma rip through him like a natural disaster
Salud,Motown 25,The flow is so adored like the smile of the newborn birthed in a winter storm
The Notorious B.I.G.,Pepsi Freestyle,"Hot like the south, flash out ya 12 ounce and renounce"
Curren$y,Hold On,"Yeah, I'm just playing my position, posted like a center"
Curren$y,Hold On,"Got it in a chokehold, it's more like a strangle"
LL Cool J,4321,Where we at? Do you value your life as much as your possessions?
LL Cool J,4321,Don't you know I'm like the Dream Team touring overseas?
Redman,Def Jammable,I'm tryin to be set for life like a Jew kid
Redman,Def Jammable,And me not runnin +The Block+ like a +New Kid+
Redman,Def Jammable,"Now I'm a sick nigga, like a bad cold"
Redman,Def Jammable,And follow my ingredients like a cookbook
Mac Miller,Trippin Out,"Smilin' like the cat is, water from a cactus"
Mac Miller,Trippin Out,"Feelin' like the shit, no diaper"
Mac Miller,Trippin Out,"Sippin' apple cider, goin' back and forth like a windshield wiper"
Mac Miller,Trippin Out,Trippy like the music on Nintendo
Field Mob,Cut loose,But now she dropped me like the pin at the end of a Sprint commercial
Common,Sum Shit I Wrote,"Marks I erase like racism, I'm as large as a bigot"
Common,Sum Shit I Wrote,When I'm off that Cognac I can't hold back like a masseuse
Common,Sum Shit I Wrote,I get loose like a screw turned from left right to tight
Common,Sum Shit I Wrote,I switch styles like a channel with controls that is remote
Common,Sum Shit I Wrote,That tie knots when I rocks like a Z-28
Common,Sum Shit I Wrote,Like a nigga in position with a stolen card of credit
Common,Sum Shit I Wrote,"I'm real like a fight with my rap, rappers I slapbox"
Common,Sum Shit I Wrote,Splat guts bust fat nuts and lay up like a crip line
Big Sean,High Rise,"Rocking something high end, like a fucking OD"
Domo Genesis,Salute,Stay reachin' for the sky like a nigga can't swim
Domo Genesis,Salute,Stealin' bitches from they niggas just becuase I like the chase
Domo Genesis,Salute,"Like a beeper in a toilet, bet my shit buzzin'"
Hodgy,Memorex CDs,Counting up dollars like the pole when the strippers dance
Hodgy,Memorex CDs,"Got these haters all hushed like the puppy, stuffing"
Hodgy,Memorex CDs,"I'll be like an iPhone, your girl wanna touch me"
Hodgy,Memorex CDs,I can't be tall and shrink like a midget
Hodgy,Memorex CDs,And Bridget is like a down-ass ho
Hodgy,Memorex CDs,"Mercedes come around with money, throw like a cheer"
P.O.S.,Drumroll Were All Thirsty,"I like the seat belts, put the seat belts back"
P.O.S.,Drumroll Were All Thirsty,I'm paranoid like a man in the land of the free
Beastie Boys,What Comes Around,"Like a garbage bag full, overflowing (please) now it's leaking"
Kurtis Blow,Basketball,I like the way they dribble up and down the court
Kurtis Blow,Basketball,"I like the pick-and-roll, I like the give-and-go"
Kurtis Blow,Basketball,Like a superstar in the NBA
Travis Barker,Devils Got a Hold,My life is like a box of chocolates
Nas,Fetus,"I existed in a womb, just like an abyss"
Viarritz,Just For The Record,"I'm pushin' like a river, with my slow flow"
Hollywood Undead,Dead in Ditches,Playing these bitches like a violin
Hollywood Undead,Dead in Ditches,I'll eat you alive like a carnivore
Hollywood Undead,Dead in Ditches,"Flat on your back, leave you smoked like an ashtray"
Hollywood Undead,Dead in Ditches,"Shot to the cross, leave you dead like a Christian"
M-Trey & CJ The Genesis,Run This Town Remix,"Our variance? There's 3 years between us, we like my parents kids"
M-Trey & CJ The Genesis,Run This Town Remix,Just to validate my status like a gown and a tassel
M-Trey & CJ The Genesis,Run This Town Remix,"I mastered the masters, you gassed up like a bovine"
M-Trey & CJ The Genesis,Run This Town Remix,"Cause panic, got it wrapped up like a gauze﻿ bandage"
M-Trey & CJ The Genesis,Run This Town Remix,Gargantuan stamina like my bars tantric
M-Trey & CJ The Genesis,Run This Town Remix,Like a wrestler I'm jam packed with an interest
M-Trey & CJ The Genesis,Run This Town Remix,Because I always leave with the W like the nationals
M-Trey & CJ The Genesis,Run This Town Remix,Gettin' rid of the ridicule and endin' like an interlude
Mobb Deep,Its Mine,Like the terminal ill takin' they last breath
Mobb Deep,Its Mine,"Scopin' your ice, appraisin' it like the Diamond District Jeweler"
Mobb Deep,Its Mine,And I'll front like my doo doo don't stink
Childish Gambino,Starlight,When it hits your eye like a get in your eye thing
Childish Gambino,Starlight,I can't promise I won't be dressed like a viking
Childish Gambino,Starlight,I shine like the sun
Childish Gambino,Starlight,"My mouth is a gun, pop off and they run, two things like a pun"
Childish Gambino,Starlight,"I run like a humvee, I don't need gas-o-line"
Childish Gambino,Starlight,I got that green like a four leaf clover
Childish Gambino,Starlight,Get rich or die tryin' like my name two quarters
Lil Wayne,This What I Call Her,"Because when we be rockin', we get it poppin like a Amstel"
Lil Wayne,This What I Call Her,"I go's down like the stock exchange, and then, I bring it up!"
Rick Ross,Speedin,And now I'm flyin' down like the cool crew winds
Lil Wayne,Im A Beast,"The door close to the booth, I feel like a caged lion"
Lil Wayne,Im A Beast,"Bet I hit my target, like a fucking dart mat"
Lil Wayne,Im A Beast,See I make that money stretch and connect like an anklet
Lil Wayne,Im A Beast,Keep the bitches running in and out my house like a banquet
The-Dream,She Needs My Love,"She said I'm like the air and without me, she'll die"
The-Dream,She Needs My Love,"She said I'm like the air and without me, she'll die"
The-Dream,She Needs My Love,"She said I'm like the air and without me, she'll die"
Consequence,So Soulful,"Chilling in a Mirada, studying like a scholar"
JT0,Pain,"To buy a mic of my own, I wasn't rich like the other kids /"
JT0,Pain,"But my mama tried, she ain't doubt me like the others did /"
Joe Budden,Overkill,He act like an inmate but sound like a scholar
Joe Budden,Overkill,"Fresh as a fuck, e'ry day is like the prom for me"
Lil Wayne,DontGetIt,"Mhm... I guess it's all a misunderstanding. And um, I sit back and think, well shit, us young motherfuckers, you know, that one in every nine: We probably only selling the crack cocaine just because we in the hood, and it's not like your suburbs. We don't have the things that you have. Why? I really don't want to know the answer. But, I guess we just misunderstood, huh? Yeah."
Raekwon,Last Trip to Scotland,And that was like the old Maybach
The Coup,Piss On Your Grave,Telling lies like a tweaker
The Coup,Piss On Your Grave,"It's about fifty dollars, and that's almost like a sale"
Lil B,Based 4 Ya Face,"All these young niggas, it's like a movie"
Lil B,Based 4 Ya Face,Remember that time will fly like a caterpillar
Lil B,Based 4 Ya Face,"Swallow your pride just like a gay lion, roar"
DJ Drama,The Art of Storytellin’ Part 4,Nigga just tryin' to live like a nigga supposed to live
DJ Drama,The Art of Storytellin’ Part 4,"I guess it's like a bike, think about it... (Uh uh oh no)"
DJ Drama,The Art of Storytellin’ Part 4,More like a hassle because she had no keys to the castle
Ja Rule,Judas,"Betrayal's a blessing, like a promise that's broken"
Big Sean,Money and Sex,Wo-wo-work ho make me throw this paper out looking like a paper route
Big Sean,Money and Sex,"Got the game on bubble like the vest, piece hangin on my"
Kesha,We R Who We R,We runnin' this town just like a club
Kesha,We R Who We R,"Just like the world is our, our, o-o-o-ours"
Kesha,We R Who We R,"Just like the world is our, our, o-o-o-ours"
Kesha,We R Who We R,"Just like the world is our, our, o-o-o-ours"
Drake,Friends With Money,"It's light work, flow is heavy like a wet sponge"
Sandpeople,The Abyss,‘Cause they look like the keys to true bliss
Sandpeople,The Abyss,Like a victim to kids on Christmas morn'
MC Ren,Final Frontier,Me and DJ Train dropping bombs like a B-2
Geto Boys,Damn It Feels Good to Be a Gangsta,"Now, bitches look at gangsta-ass niggas like a stop sign"
Bun B,Countin Money,Thinkin that you angry cause my neck look like the Mardi Gras
The Game,Runnin,"That's why I'm on the low like a damn navy seal, I'm running"
N.W.A,A Bitch Iz a Bitch,It's like a disease that plagues their character
N.W.A,A Bitch Iz a Bitch,"I didn't say you was a bitch, if you stop acting like a goddamn bitch"
Chris Brown,Big Booty Judy,"Dressed so elegant, ass like a elephant"
Chris Brown,Big Booty Judy,So I'ma give it to like a motherfuckin' veteran
Chris Brown,Big Booty Judy,"And she keep it-keep it shakin', like a bass in the trunk"
Charles Hamilton,Choices A Wave For Alex,"So like the swisher, yeah laugh at Mr. Truman"
Charles Hamilton,Choices A Wave For Alex,Sometimes I feel like my old me
One Be Lo,Rocketship,Train of thought like a drill sergeant
One Be Lo,Rocketship,The moves I make are checks and balance like a chess fanatic
One Be Lo,Rocketship,"Check the verse, it's like a Magic spell with words"
Beastie Boys,Flute Loop,Lead my team to sixty wins like my man Pat Ewing
Beastie Boys,Flute Loop,Like a sound that goes to the depths of the soul
Beastie Boys,Flute Loop,I feel like a winner when I make a mixtape
A Tribe Called Quest,Mind Power,That'll keep you broke down like a Ross 5 speed
A Tribe Called Quest,Mind Power,"You know my steez, I treat hip-hop like a sport"
Cannibal Ox,Straight Off the D.I.C.,"Thinking he all, you ain't got it like the mighty, matter of fact"
Cannibal Ox,Straight Off the D.I.C.,We trying to gain freedom like a tribe in Tibet
Mac Miller,Best Day Ever,'Cause K.I.D.S. got me buzzin' like a fuckin' hornet
Mac Miller,Best Day Ever,"Pursuit to be happy, only laughin' like a child"
Mac Miller,Best Day Ever,"Pursuit to be happy, only laughin' like a child"
Raekwon,Crane Style,"Clever, more like a fox and ox together"
Raekwon,Crane Style,Like a young Fillipino in Kuwait getting treated
Raekwon,Crane Style,"Heavy horror armor, spike a bitch like her"
Odd Future,Swag Me Out,"So, get the fuck out 'fore shoot you like a deer"
Odd Future,Swag Me Out,We cool like the breeze at the fucking beach
Odd Future,Swag Me Out,Telling you to eat a ass like a fucking baboon
GZA,Breaker Breaker,"Glide like the Frisbee, Digi they Disney"
GZA,Breaker Breaker,Milk the industry like the Wall Street junk bond
GZA,Breaker Breaker,"I strike on you Vikings, slash like a hyphen"
J. Cole,Split You Up,I just love the way you ride like a certified freak
J. Cole,Split You Up,I'm a make you say my name like a caller ID
Slick Rick,Hey Young World,And if you're over eighteen... I wish you'd act like an adult
2Pac,The Uppercut,"You a trick rolled over, turned snitch like a biatch"
2Pac,The Uppercut,He don't know I gotta tell ya like the last nigga
Kno,La Petite Mort Come Die With Me,"To rise like a Phoenix, the sound remains"
Rick Ross,John Doe,"Ugh, Jumping niggas like a chess piece"
Black Milk,The Matrix,"Killin' shit precise like a snipe that's on top of the roof, ha"
Black Milk,The Matrix,"Acting like a boss, get lost—what up, Hex? Rrr"
Aroy Fogo,Believe in Me,"It’s feeling like my homecoming, maybe I never left"
Aroy Fogo,Believe in Me,Convinced I am convention brings security like a wedding vow
Aroy Fogo,Count Stacks,Goin hard for the chips like an LA Laker
Aroy Fogo,Count Stacks,"I’m shining light in the dark, like the moon and the stars"
Aroy Fogo,Count Stacks,"Then my flow is like the pill, shot, antibiotic"
Aroy Fogo,On a Mission,"Too strong, my rhyme is cunning like a Troubadour"
Aroy Fogo,Nicest in the City,Like the Superman ride a lot of ups and downs
Aroy Fogo,Nicest in the City,Man I’m trying to bank just like a backboard
Aroy Fogo,Nicest in the City,Y’all get tossed on the ground just like a ‘rillo box
Esham,Chemical Imbalance,"I'm twisted like a psychopath, I write my rhymes in blood"
Bryan J,Let Me Take You Out,She got some leggings on with some shades like a diva
OutKast,Movin Cool The After Party,"Like a lemon licorice, lollypop"
OutKast,Movin Cool The After Party,Like a D-Boy movin' fifty P's of that work
"Royce da 5'9""",Murder,"Head hurting like a motherfucker, looking for a gas station"
Canibus,Patriots,‘Cause my rhyme weapon is like a medieval torture method
Canibus,Patriots,I bring the force like a nutcracker
Canibus,Patriots,Bugging like a satanic evangelist
Canibus,Patriots,I'll survive the nuclear holocaust like a roach arthropod
Lil Wayne,Ground Zero,"Rollin' like a motherfucker, put your wheels on"
Lil Wayne,Ground Zero,"And I'ma fuck you like a bull, I swear"
Raekwon,The Scroll,"We from the same voc's, this is like a pot roast"
Wooh da Kid,No Romance,Like a car with no brakes man I can't stop
Wooh da Kid,No Romance,Plus she down for it and she like her hair pulled
Wooh da Kid,No Romance,A bunch of young niggas moving like a fucking mob
Lupe Fiasco,Stereo Sun,It's like a stereo sun
Lupe Fiasco,Stereo Sun,It's like a stereo sun
Snoop Dogg,Imagine,"Remember how they asked you, ""What you run for?"" and treat ya like a bitch"
Eve,You Had Me You Lost Me,"I'm like a dime over line, you can't calculate my status"
Eve,You Had Me You Lost Me,And you fuckin' with these bitches like my ass wasn't the fattest
Eve,You Had Me You Lost Me,"You could fuck all day, but it would never feel like my sex"
Curren$y,Reagan Era,Comin down like my homeboys
Curren$y,Reagan Era,Like a trumpet or some symbols
Curren$y,Reagan Era,"I'm fresh, dressed like a million bucks"
Busta Rhymes,Respect My Conglomerate,See we're kind of like the government so just respect my conglomerate
Busta Rhymes,Respect My Conglomerate,"Drastic measures, I´m spreadin' like a rash bitch"
Busta Rhymes,Respect My Conglomerate,See were kind of like the government so just respect my conglomerate
Busta Rhymes,Respect My Conglomerate,See were kind of like the government so just respect my conglomerate
Busta Rhymes,Respect My Conglomerate,See were kind of like the government so just respect my conglomerate
Soulja Boy,All Black Everything,"All black everything, I'm feelin like an eclipse"
Soulja Boy,All Black Everything,All black everything feeling like a blind man
brandUn DeShay,Why You Gotta Zodiac Like That,Let's ride out and kick it on Broadway like my posse
GodZZZilla,The Warning,"Make the list, make the money, oh you think this is funny? go watch Jeff Dunham act like a fucking monkey"
GodZZZilla,The Warning,Like a Hitchcock thriller my swagger so mysterious
GodZZZilla,The Warning,My swagger like the Scarlet letter
GodZZZilla,The Warning,"Who act like the fucking settlers, shooting Buffalo but I ain't no T.O.,"
GodZZZilla,The Warning,"Sonny, you acting like a Bono"
GodZZZilla,The Warning,My piss so smooth it flows like a fountain
J. Cole,The Storm,Like a snare drum but bangs way more
Apathy,Immortal,"I spit, to make the mic like a flammable torch"
Apathy,Immortal,"Got breath control, flow like a ship with a sail"
Apathy,Immortal,I be wetting motherfuckers like a christening and cripplin'
Blu,Til We Die,Like the pilots do it
Snibunny,My Heart is Dancing Mad Ode to Hannah,"Feel like a king, a lion hart with this mane"
Snibunny,My Heart is Dancing Mad Ode to Hannah,It's like the fruit of temptation
Snibunny,My Heart is Dancing Mad Ode to Hannah,Piercing my skin like a tack
Snibunny,My Heart is Dancing Mad Ode to Hannah,Feels like my bodies on fire
Pusha T,Money on My Mind Freestyle,Now they hide their head like an ostrich
Pusha T,Money on My Mind Freestyle,"Niggas still hands on, whip it like a sandstorm"
Pusha T,Money on My Mind Freestyle,Like the clear glass on that coupe I steer past
Pusha T,Money on My Mind Freestyle,Money on my mind like my pillow is a vault
Lil B,Tiny Pants,Tiny pants on like a fagget
Lil B,Tiny Pants,"Swaggin out the door, bitch just like a faggot"
Lil B,Tiny Pants,Two iced chains with them rings like a bitch
Slaughterhouse,Back on the Scene,"Slaughterhouse family, ridin’ like a taxi"
Slaughterhouse,Back on the Scene,"And yeah, I’m like Dres, I am like the Black Sheep"
Slaughterhouse,Back on the Scene,We prime like the Corleone re-enactment!
Slaughterhouse,Back on the Scene,Either I’m getting better or y'all falling off like the sag in my jeans
Slaughterhouse,Back on the Scene,Sorta like a spine on a movie screen
Slaughterhouse,Back on the Scene,Back under the lights like a gat with the beam
Mac Miller,Down the Rabbit Hole,My life is like a vacation
Mac Miller,Down the Rabbit Hole,'Cause some hoes who like my tunes
Lil Wayne,Ask Dem Hoes,Them bitches want me like a wedding ring
Common,Nag Champa Afrodisiac for the World,Posing like a bitch for exposure
Common,Nag Champa Afrodisiac for the World,Shows allow me to cop range like a vocalist
J. Cole,Hold It Down,Man I'm sort of like a nigga who done seen greener grass
J. Cole,Hold It Down,So when they think they ballin' like The Dream Team
Slaughterhouse,Sun Doobie,"I do it it's stupid, I bruise it like a bad bitch"
Jamie Foxx,Digital Girl Remix 2,We would cross paths like an intersection
Ya Boy,Vonces Ape,Boy I stay on my feet like a flip flop
Das Racist,Coochie Dip City,She gets me here and right here like A-1
Lil Twist,Love Affair,We stuck in the moment like the time froze
Pusha T,Raid,"Drop weight like an anchor; then, you set sail"
Pusha T,Raid,Hell freeze over like the watch I put the sleeve over
Pusha T,Raid,Pirellis on the street rolling like a steamroller
Zero 7,Somersault Danger Mouse Remix,Lust is like the sand where the beach meets the ocean
Charles Hamilton,Ill Be Around Outro,"You're like a dream come true, music's a dream come true, I got dreams of music, wanna see my dreams come true. (Whenever you call me.)"
Viktor Vaughn,Untitled A.K.A. Change the Beat Bonus Track,"It's like the same hustle, bro, two knuckles glow"
Canibus,Bar War Sample,...like a pit bull
Canibus,Bar War Sample,"With a focused rap flow, tongue snap like a hybrid bow"
New Boyz,Backseat,"She like my orange Camaro, she said let's ride up and trick or treat"
MF DOOM,Trap Door,He moves the crowd like a cursor on zoom
MF DOOM,Trap Door,Pull a broad like a dyke bull on a long bid
MF DOOM,Trap Door,... Move the crowd like a buddha cloud
MF DOOM,Trap Door,He had the eye of the tiger through the mask like the Fry Guy
Xian,Excerpt,Thought she’d think it was funny and cute like a bunny
Xian,Excerpt,"Feels like a losing battle, so Clippery"
Xian,Excerpt,"Looks like our future, but I hope it isn’t"
J. Cole,Killers,I watched his life flash before his eyes like a strobe light
J. Cole,Killers,"I’m on the run, I live my life like a movie now it’s way too realer"
J. Cole,Killers,"This life can make a nigga fold like a laundry mat, uh"
J. Cole,Killers,"Watch how they pile up, seem like a mile up"
J. Cole,Killers,"City that he went to, went hard like the rent due"
Bobby Fischer (Rapper),Dreams,Memories got me tight like a blunt that won't light
Bobby Fischer (Rapper),Dreams,Bring gifts down to Bristol like the skinny Mr. Claus
Cane,Popular Demand,Party like a Pi-Kap guy frat high-dap
Cane,Popular Demand,Better with age like a fine wine
Cane,Popular Demand,And the shit would be real like a shaqtus
Jedi Mind Tricks,Animal Rap,"Ball like the Knicks and the Mavericks, slipping the fabrics"
Jedi Mind Tricks,Animal Rap,"""I'll exile barbarian style like an executor"""
Jedi Mind Tricks,Animal Rap,And Vinnie Paz holds a hammer like a carpenter do
Dumbfoundead,Up In The Air,This feels like the twilight zone
Immortal Technique,One Remix,"No question, it's like the elders told me"
Young Sam,Jerkin Cant Die,Flow so clean like a whole lot of soap
Young Sam,Jerkin Cant Die,Never in class but a nigga gettin brain like a school bitch
2Pac,All About U,"Scandalous times, this game's like my religion"
Eyedea,Step by Step,I'll just follow the white light like the do in the movies
GZA,Fame,Like the kids in the yard who play with Jane's Child
Dem Franchize Boyz,Lean Wit It Rock Wit It,And snap yo fingers like The Temptations
T.I.,Live in the Sky,Like a man prepared to take whatever coming for me
Rocko,Maybe,She like the way I be kicking it
Rocko,Maybe,She like the way I be getting it
Rocko,Maybe,Maybe she just like the way I party in this bitch (I Party!)
Rocko,Maybe,She like the way I be kicking it
Rocko,Maybe,She like the way I be getting it
Rocko,Maybe,"I'm an OG, I wear my stripes like a Ref!"
Rocko,Maybe,She like the way I be kicking it
Rocko,Maybe,She like the way I be getting it
Birdman & Lil Wayne,Over Here Hustlin’,And I just keep on kicking it kicking it like a knee and a foot
Birdman & Lil Wayne,Over Here Hustlin’,"Yes, wayne straight like a ki' of that good"
J. Cole,Dolla and A Dream,"It was like the Sixes came out, the Jordan Sixes"
Gunplay,Rollin,I'm drinking ace of spades like a pop soda
Gunplay,Rollin,"These hoes like a ball man, these hoes just for tossing"
The Streets,Has It Come to This?,Lean like the Tower of Pisa
The Streets,Has It Come to This?,"SR Nova, driving like a joyrider"
BBU,Please No Pictures,With all of my fam like the bars man
BBU,Please No Pictures,"So we don't fuck around, kinda like a sonic boom"
BBU,Please No Pictures,Detroit Red comma black medical like a young Obama
Snoop Dogg,Vato,I have you niggas runnin' like a marathon
Snoop Dogg,Vato,"In it, y'all, been a Dogg, smoke you like a Menthol"
Snoop Dogg,Vato,"Ba-ba-bang on a song, make it feel like a drive-by (Drive-by)"
Snoop Dogg,Vato,"I mean, give me some like a—"
Pharoahe Monch,What It Is,Shine like the new five halogen foglights
Cam'ron,Wet Wipes,"I come once a year, I'm like the carnival"
Busta Rhymes,Legend of the Fall Offs,Refuse to acknowledge the truth like the mind of a child
Benjy,Rap n Roll,Roll like a rolling stone gotta keep moving
Mac Miller,Ill Be There,All the work you did to make my life feel like a vacation
The Game,Taylor Made,Haze got me kicking knowledge like a Nas verse
Travis Barker,Lets Go,And I’m like a mangler the way I be manglin' the beat
Travis Barker,Lets Go,"Kind of like a savage, ravager"
Travis Barker,Lets Go,Leave you on top of the water like a banana boat
Travis Barker,Lets Go,"Good heavens, the man's hoppin' over the fence like a fucking antelope"
Slaughterhouse,Fight Club Remix,Like a group broke up I will dismember that clique
Slaughterhouse,Fight Club Remix,"The rap game like a St. Louis verses New York battle, nobody won"
Slaughterhouse,Fight Club Remix,"Hard-headed, gotta hit a wall first like a bank shot"
Slaughterhouse,Fight Club Remix,With dudes that help me shoot like A-Rod cousin
